Year,Treatment,Rep,Response
1963,Treatment 1,4,30.707681646095622
1964,Treatment 1,4,8.086464318934425
1965,Treatment 1,4,10.022791069666923
1966,Treatment 1,4,6.240435903365551
1967,Treatment 1,4,14.579709422285939
1968,Treatment 1,4,18.63684012584708
1969,Treatment 1,4,21.646913149123005
1970,Treatment 1,4,10.888001231260137
1971,Treatment 1,4,22.1696331583431
1972,Treatment 1,4,11.50427221538067
1973,Treatment 1,4,23.475923570217
1974,Treatment 1,4,18.846263499671867
1975,Treatment 1,4,19.97277409884812
1976,Treatment 1,4,12.329302140727869
1977,Treatment 1,4,4.4915670164223
1978,Treatment 1,4,21.985024627931228
1979,Treatment 1,4,24.28951071996743
1980,Treatment 1,4,19.570447824697162
1981,Treatment 1,4,0.9035305974864478
1982,Treatment 1,4,6.796495137591702
1983,Treatment 1,4,17.239559978426676
1984,Treatment 1,4,11.35393708779505
1985,Treatment 1,4,27.34259322771235
1986,Treatment 1,4,6.478764989304192
1987,Treatment 1,4,17.818894021865855
1988,Treatment 1,4,20.371474466861535
1989,Treatment 1,4,8.149732399997362
1990,Treatment 1,4,17.276262942476137
1991,Treatment 1,4,20.01241507378942
1992,Treatment 1,4,9.839012372685659
1993,Treatment 1,4,9.629988549106415
1994,Treatment 1,4,25.83069736250513
1995,Treatment 1,4,4.123003907939015
1996,Treatment 1,4,16.047658755798196
1997,Treatment 1,4,20.618161566473017
1998,Treatment 1,4,17.16556840198845
1999,Treatment 1,4,34.38239920418978
2000,Treatment 1,4,11.387684885201793
2001,Treatment 1,4,7.643094220210531
2002,Treatment 1,4,2.0818328036741374
2003,Treatment 1,4,13.616256684775937
2004,Treatment 1,4,-4.705802621589161
2005,Treatment 1,4,14.303206604538678
2006,Treatment 1,4,9.83240141843925
2007,Treatment 1,4,12.982577839184744
2008,Treatment 1,4,1.4936213068247586
2009,Treatment 1,4,23.220162925576687
2010,Treatment 1,4,18.38599786612443
2011,Treatment 1,4,19.376706438451066
2012,Treatment 1,4,17.121057862688772
2013,Treatment 1,4,6.252798922130832
2014,Treatment 1,4,6.520313080222573
2015,Treatment 1,4,21.73906902465722
2016,Treatment 1,4,12.559769274711027
2017,Treatment 1,4,6.931067514223937
2018,Treatment 1,4,21.996304502275816
2019,Treatment 1,4,13.895960438347954
2020,Treatment 1,4,18.45927211219285
2021,Treatment 1,4,18.21647342003655
2022,Treatment 1,4,31.97532075093792
2023,Treatment 1,4,9.268610500525668
1950,Treatment 2,4,19.133945687907953
1951,Treatment 2,4,23.23518586699984
1952,Treatment 2,4,10.722200219719468
1953,Treatment 2,4,9.59967061737374
1954,Treatment 2,4,19.924345242807195
1955,Treatment 2,4,32.71159500009742
1956,Treatment 2,4,-3.96705701511236
1957,Treatment 2,4,18.481011251295264
1958,Treatment 2,4,21.324266759290865
1959,Treatment 2,4,6.499287565482682
1960,Treatment 2,4,18.116321270484207
1961,Treatment 2,4,19.037555707065046
1962,Treatment 2,4,13.831777324357382
1963,Treatment 2,4,23.456957451743165
1964,Treatment 2,4,16.417538628922866
1965,Treatment 2,4,17.96587996845162
1966,Treatment 2,4,16.426839150203424
1967,Treatment 2,4,2.2224026426815424
1968,Treatment 2,4,15.280576815637836
1969,Treatment 2,4,2.216984065417103
1970,Treatment 2,4,6.18912922483428
1971,Treatment 2,4,13.896691982070472
1972,Treatment 2,4,19.953136385471996
1973,Treatment 2,4,9.23696369471287
1974,Treatment 2,4,30.21172724570647
1975,Treatment 2,4,19.114746695529114
1976,Treatment 2,4,25.194239855566938
1977,Treatment 2,4,15.475940094984496
1978,Treatment 2,4,14.98375517041919
1979,Treatment 2,4,27.697731623283183
1980,Treatment 2,4,1.1909273141372374
1981,Treatment 2,4,17.960958932184926
1982,Treatment 2,4,32.46475300038193
1983,Treatment 2,4,14.566334383378358
1984,Treatment 2,4,13.042039809656526
1985,Treatment 2,4,13.659559503808346
1986,Treatment 2,4,8.822237629995929
1987,Treatment 2,4,25.96906785461161
1988,Treatment 2,4,9.220181751979847
1989,Treatment 2,4,19.647853095234197
1990,Treatment 2,4,6.897634203727852
1991,Treatment 2,4,18.93293760555062
1992,Treatment 2,4,25.174253657575044
1993,Treatment 2,4,13.069526640561875
1994,Treatment 2,4,4.956995612312381
1995,Treatment 2,4,17.272706328325253
1996,Treatment 2,4,-3.086820715367729
1997,Treatment 2,4,23.399157239540312
1998,Treatment 2,4,16.11909995695677
1999,Treatment 2,4,1.5555048751095164
2000,Treatment 2,4,12.461378623183343
2001,Treatment 2,4,2.4828105952305037
2002,Treatment 2,4,24.980711093874675
2003,Treatment 2,4,10.100328677021013
2004,Treatment 2,4,7.623458696346762
2005,Treatment 2,4,9.159921469775902
2006,Treatment 2,4,28.686316220986185
2007,Treatment 2,4,19.262119490912053
2008,Treatment 2,4,8.087087016178803
2009,Treatment 2,4,20.018562929589777
2010,Treatment 2,4,0.860028121087451
2011,Treatment 2,4,7.846671165056536
2012,Treatment 2,4,16.45735875708093
2013,Treatment 2,4,6.050202800441278
2014,Treatment 2,4,23.735251567640553
2015,Treatment 2,4,9.052341256560215
2016,Treatment 2,4,7.661403220685429
2017,Treatment 2,4,18.361113509310332
2018,Treatment 2,4,21.626451469825362
2019,Treatment 2,4,9.767974665118
2020,Treatment 2,4,21.95737029445103
2021,Treatment 2,4,5.130995735385152
2022,Treatment 2,4,7.704465688904489
2023,Treatment 2,4,6.02675165648734
1950,Control,5,2.863730612294413
1951,Control,5,12.136320459982338
1952,Control,5,17.418885099883532
1953,Control,5,16.055433343238175
1954,Control,5,14.470748140246927
1955,Control,5,-4.742319004378711
1956,Control,5,25.75044227452544
1957,Control,5,21.961541705883818
1958,Control,5,7.144473337126451
1959,Control,5,13.804688877881672
1960,Control,5,18.996057395033056
1961,Control,5,25.539635022762237
1962,Control,5,19.710193051664326
1963,Control,5,27.856646265138107
1964,Control,5,26.301095794281046
1965,Control,5,8.91547261478659
1966,Control,5,37.60139636348629
1967,Control,5,13.634357491746169
1968,Control,5,21.43401068590402
1969,Control,5,17.483470460220897
1970,Control,5,8.071059182795452
1971,Control,5,-4.854138816341848
1972,Control,5,-2.677344567745127
1973,Control,5,12.9411516876633
1974,Control,5,16.551120245100563
1975,Control,5,3.684370215141458
1976,Control,5,21.239810098151576
1977,Control,5,11.604800481718398
1978,Control,5,7.204809025788831
1979,Control,5,15.415096163577907
1980,Control,5,25.292936767336663
1981,Control,5,18.971983074169216
1982,Control,5,9.1515792580728
1983,Control,5,18.25125886485377
1984,Control,5,23.196809275503885
1985,Control,5,14.516074431086027
1986,Control,5,3.7476676418943295
1987,Control,5,9.442228600787544
1988,Control,5,16.00969659228775
1989,Control,5,18.39598273792145
1990,Control,5,27.707778372684835
1991,Control,5,19.235164680608396
1992,Control,5,23.945426666198536
1993,Control,5,24.370163133603622
1994,Control,5,7.486222412411484
1995,Control,5,8.444012859537029
1996,Control,5,27.569824354792726
1997,Control,5,9.793966844292662
1998,Control,5,14.959796714060099
1999,Control,5,3.021147272989884
2000,Control,5,4.309861610578009
2001,Control,5,16.364865506095434
2002,Control,5,30.235529954737547
2003,Control,5,11.484136226124651
2004,Control,5,12.248099442137496
2005,Control,5,-1.8589106562682005
2006,Control,5,14.113103197097095
2007,Control,5,9.507195673840041
2008,Control,5,22.455710143101733
2009,Control,5,4.799946152483098
2010,Control,5,15.099077745505603
2011,Control,5,12.481126035000193
2012,Control,5,5.388511402146728
2013,Control,5,3.1945520234457074
2014,Control,5,23.589783709330817
2015,Control,5,9.034843786074891
2016,Control,5,10.353709342604184
2017,Control,5,16.87394905658727
2018,Control,5,14.84340088468201
2019,Control,5,21.338863216352483
2020,Control,5,19.213244680402383
2021,Control,5,15.877132601874322
2022,Control,5,13.498337326894632
2023,Control,5,8.72662800865296
1950,Treatment 1,5,18.48092390542734
1951,Treatment 1,5,18.252777696021127
1952,Treatment 1,5,12.007206844516194
1953,Treatment 1,5,5.376393709964514
1954,Treatment 1,5,17.79407644373292
1955,Treatment 1,5,13.994666313716777
1956,Treatment 1,5,20.05318922326746
1957,Treatment 1,5,-1.7061060076100425
1958,Treatment 1,5,10.643556406801185
1959,Treatment 1,5,-5.635927540854329
1960,Treatment 1,5,14.434390094677974
1961,Treatment 1,5,17.304104248039433
1962,Treatment 1,5,18.3911767501394
1963,Treatment 1,5,18.31286573265736
1964,Treatment 1,5,21.377892727394517
1965,Treatment 1,5,7.190098110877177
1966,Treatment 1,5,10.700236442780145
1967,Treatment 1,5,24.069304727952684
1968,Treatment 1,5,22.977533704398063
1969,Treatment 1,5,0.2792510281872822
1970,Treatment 1,5,6.6639803750286255
1971,Treatment 1,5,14.056522761746017
1972,Treatment 1,5,6.675658883675739
1973,Treatment 1,5,-7.404172786402572
1974,Treatment 1,5,15.792760278922634
1975,Treatment 1,5,18.282736228910927
1976,Treatment 1,5,14.674963440566147
1977,Treatment 1,5,28.116643348404022
1978,Treatment 1,5,10.297675934264369
1979,Treatment 1,5,18.99495763252587
1980,Treatment 1,5,9.629300335668855
1981,Treatment 1,5,5.388180646516405
1982,Treatment 1,5,-7.504641023772418
1983,Treatment 1,5,12.303775536031761
1984,Treatment 1,5,10.542849743875717
1985,Treatment 1,5,23.05937407734136
1986,Treatment 1,5,6.832568382769912
1987,Treatment 1,5,11.006122276524525
1988,Treatment 1,5,20.047763468387807
1989,Treatment 1,5,19.611386629730212
1990,Treatment 1,5,18.68678369971836
1991,Treatment 1,5,6.295745018467036
1992,Treatment 1,5,17.58553882294131
1993,Treatment 1,5,2.603061746394035
1994,Treatment 1,5,18.144949031985725
1995,Treatment 1,5,27.757967462613912
1996,Treatment 1,5,13.394540469583731
1997,Treatment 1,5,13.427412717469043
1998,Treatment 1,5,24.63560507899087
1999,Treatment 1,5,15.713644987919157
2000,Treatment 1,5,6.4780290893493095
2001,Treatment 1,5,25.52229318620998
2002,Treatment 1,5,26.617972151493426
2003,Treatment 1,5,10.290779622149419
2004,Treatment 1,5,18.05790520274674
2005,Treatment 1,5,15.19631714601624
2006,Treatment 1,5,27.37597727509065
2007,Treatment 1,5,19.533943038443326
2008,Treatment 1,5,11.471733901628708
2009,Treatment 1,5,10.319182562758602
2010,Treatment 1,5,11.742193136483637
2011,Treatment 1,5,13.920967228457666
2012,Treatment 1,5,-3.195280608149151
2013,Treatment 1,5,21.147130636897177
2014,Treatment 1,5,18.2990399933544
2015,Treatment 1,5,23.827819158464457
2016,Treatment 1,5,6.454480808714777
2017,Treatment 1,5,15.25861224210525
2018,Treatment 1,5,14.290068691721439
2019,Treatment 1,5,16.136276128400528
2020,Treatment 1,5,7.298049058325909
2021,Treatment 1,5,21.450019515598125
2022,Treatment 1,5,18.315178455047253
2023,Treatment 1,5,-0.2305027419146235
1950,Treatment 2,5,12.089330170855938
1951,Treatment 2,5,23.010240216357413
1952,Treatment 2,5,20.45491892245913
1953,Treatment 2,5,2.573406557622354
1954,Treatment 2,5,13.975096417875175
1955,Treatment 2,5,35.6985139200829
1956,Treatment 2,5,2.5057358111301102
1957,Treatment 2,5,11.358068026884887
1958,Treatment 2,5,17.047928127592904
1959,Treatment 2,5,12.915903162802426
1960,Treatment 2,5,4.999422200822366
1961,Treatment 2,5,11.515003071739885
1962,Treatment 2,5,-2.6066757340141606
1963,Treatment 2,5,18.607867456264533
1964,Treatment 2,5,7.127292349017137
1965,Treatment 2,5,15.285755094295212
1966,Treatment 2,5,9.189057289004776
1967,Treatment 2,5,4.452032904907751
1968,Treatment 2,5,8.639939319041863
1969,Treatment 2,5,23.27086750798884
1970,Treatment 2,5,2.1857381109850493
1971,Treatment 2,5,21.337617343101563
1972,Treatment 2,5,16.54354602699087
1973,Treatment 2,5,14.194825119216864
1974,Treatment 2,5,27.45815420384953
1975,Treatment 2,5,13.445630432998914
1976,Treatment 2,5,28.831144815566045
1977,Treatment 2,5,12.834318061704723
1978,Treatment 2,5,4.527849589420828
1979,Treatment 2,5,14.749041294904753
1980,Treatment 2,5,27.269022109618355
1981,Treatment 2,5,19.15165820419258
1982,Treatment 2,5,8.672000959355314
1983,Treatment 2,5,14.830780651338968
1984,Treatment 2,5,5.9865265475054805
1985,Treatment 2,5,5.413156734928142
1986,Treatment 2,5,16.362414357037856
1987,Treatment 2,5,22.199844652384378
1988,Treatment 2,5,11.299119252521155
1989,Treatment 2,5,12.059590572003213
1990,Treatment 2,5,30.306468956144737
1991,Treatment 2,5,12.669917273256388
1992,Treatment 2,5,22.251025892470523
1993,Treatment 2,5,18.042937367812222
1994,Treatment 2,5,4.232134065305738
1995,Treatment 2,5,11.062748104606202
1996,Treatment 2,5,18.92026642212448
1997,Treatment 2,5,22.24835732688475
1998,Treatment 2,5,14.042637954584897
1999,Treatment 2,5,23.421133782936288
2000,Treatment 2,5,21.28898123535383
2001,Treatment 2,5,10.86012025552116
2002,Treatment 2,5,21.84000401983706
2003,Treatment 2,5,9.284351123359974
2004,Treatment 2,5,25.89025638072345
2005,Treatment 2,5,21.18962980602273
2006,Treatment 2,5,7.32743321137164
2007,Treatment 2,5,2.0533174957810694
2008,Treatment 2,5,11.59462153436449
2009,Treatment 2,5,16.486823131020085
2010,Treatment 2,5,10.736283373127804
2011,Treatment 2,5,11.7279583276973
2012,Treatment 2,5,5.884142499999847
2013,Treatment 2,5,13.450441941635946
2014,Treatment 2,5,4.272343602263776
2015,Treatment 2,5,15.145273066910564
2016,Treatment 2,5,25.718683852544512
2017,Treatment 2,5,-2.366237286146422
2018,Treatment 2,5,15.158328859962834
2019,Treatment 2,5,18.010787942043237
2020,Treatment 2,5,12.375703797622172
2021,Treatment 2,5,29.615907722910354
2022,Treatment 2,5,29.672531742103565
2023,Treatment 2,5,10.279214755853392
1950,Control,6,16.33249172801113
1951,Control,6,19.822911390285494
1952,Control,6,6.634039964155578
1953,Control,6,26.59979862115961
1954,Control,6,7.311507534268482
1955,Control,6,6.4306744421942685
1956,Control,6,14.17646544203519
1957,Control,6,-0.5529399979154928
1958,Control,6,7.641371404119877
1959,Control,6,17.47997270020411
1960,Control,6,25.293013133378416
1961,Control,6,-3.1593320266564255
1962,Control,6,14.12502422075314
1963,Control,6,10.752427721331266
1964,Control,6,6.041310602395381
1965,Control,6,17.321915779861932
1966,Control,6,15.771252898609264
1967,Control,6,14.588491732386233
1968,Control,6,11.494787239424003
1969,Control,6,-7.346228169631157
1970,Control,6,13.645341844291515
1971,Control,6,3.1842149095903505
1972,Control,6,14.421599742731544
1973,Control,6,17.604546077996506
1974,Control,6,4.629322774921821
1975,Control,6,20.532498731317506
1976,Control,6,3.1980431368436903
1977,Control,6,9.848747198546327
1978,Control,6,13.626153148265868
1979,Control,6,15.745635885789873
1980,Control,6,31.669884795760357
1981,Control,6,-2.5423332881013962
1982,Control,6,19.324929712119033
1983,Control,6,19.188636157471592
1984,Control,6,18.11829568356161
1985,Control,6,28.828585480994633
1986,Control,6,30.098533538241245
1987,Control,6,7.796991673026517
1988,Control,6,11.71945195169546
1989,Control,6,17.469560596106966
1990,Control,6,10.790383347264967
1991,Control,6,8.956856429889282
1992,Control,6,13.600493199582987
1993,Control,6,-4.215370086550095
1994,Control,6,14.381090338021343
1995,Control,6,13.491020155780344
1996,Control,6,14.422247112347051
1997,Control,6,1.1791009496875446
1998,Control,6,6.72852772922224
1999,Control,6,1.2127763495614303
2000,Control,6,24.987893775312354
2001,Control,6,6.134851250662814
2002,Control,6,2.032453421791258
2003,Control,6,14.550561554718008
2004,Control,6,26.694484518034756
2005,Control,6,8.311024356965786
2006,Control,6,10.802242791964922
2007,Control,6,8.81039335670673
2008,Control,6,15.228765349983355
2009,Control,6,10.253886223505756
2010,Control,6,21.455914094480633
2011,Control,6,10.40134203601406
2012,Control,6,23.234841521325627
2013,Control,6,21.946338078416005
2014,Control,6,32.69107422577683
2015,Control,6,22.299010659467918
2016,Control,6,11.872929692324833
2017,Control,6,12.094499517636365
2018,Control,6,20.92210734184723
2019,Control,6,9.657117179823006
2020,Control,6,11.66270400773464
2021,Control,6,8.875060415467697
2022,Control,6,2.169338036424586
2023,Control,6,30.19326239535244
1950,Treatment 1,6,8.580934424195664
1951,Treatment 1,6,18.294731062004026
1952,Treatment 1,6,15.560659970801897
1953,Treatment 1,6,14.5674885808746
1954,Treatment 1,6,20.714123648324268
1955,Treatment 1,6,7.537213789408384
1956,Treatment 1,6,25.61378815410439
1957,Treatment 1,6,2.044360566854282
1958,Treatment 1,6,19.636795396554678
1959,Treatment 1,6,16.645635561845644
1960,Treatment 1,6,7.492597015803762
1961,Treatment 1,6,16.84546740409583
1962,Treatment 1,6,8.431131724885173
1963,Treatment 1,6,12.846387959833764
1964,Treatment 1,6,8.704649763599619
1965,Treatment 1,6,26.57114004317748
1966,Treatment 1,6,26.082103522134524
1967,Treatment 1,6,20.67945715582558
1968,Treatment 1,6,17.155675652049368
1969,Treatment 1,6,6.36889068222508
1970,Treatment 1,6,11.734447288646589
1971,Treatment 1,6,16.61978212605258
1972,Treatment 1,6,4.537512369939789
1973,Treatment 1,6,24.778363895406628
1974,Treatment 1,6,10.428634395844698
1975,Treatment 1,6,19.857371733140052
1976,Treatment 1,6,2.0233328640783377
1977,Treatment 1,6,23.472879140342492
1978,Treatment 1,6,14.090833578862842
1979,Treatment 1,6,29.652707251731876
1980,Treatment 1,6,2.8885967722877073
1981,Treatment 1,6,15.206806262845896
1982,Treatment 1,6,24.712794871857874
1983,Treatment 1,6,17.294739804196144
1984,Treatment 1,6,6.1395327518536025
1985,Treatment 1,6,1.326079414585605
1986,Treatment 1,6,28.39062900024272
1987,Treatment 1,6,14.05326357208565
1988,Treatment 1,6,3.0560268914273987
1989,Treatment 1,6,17.581534325036902
1990,Treatment 1,6,13.832841663614625
1991,Treatment 1,6,26.2973738389294
1992,Treatment 1,6,10.972839584970467
1993,Treatment 1,6,21.299176954737142
1994,Treatment 1,6,21.424538719571867
1995,Treatment 1,6,17.229678641086576
1996,Treatment 1,6,14.469989264893925
1997,Treatment 1,6,-0.4169132982264223
1998,Treatment 1,6,8.094169565363023
1999,Treatment 1,6,6.287493580286883
2000,Treatment 1,6,13.709482786290943
2001,Treatment 1,6,0.27408878468678033
2002,Treatment 1,6,18.30560451851276
2003,Treatment 1,6,14.385325315782811
2004,Treatment 1,6,19.940098269457323
2005,Treatment 1,6,14.025321526811137
2006,Treatment 1,6,11.495393729598387
2007,Treatment 1,6,32.00083768679692
2008,Treatment 1,6,17.965119452237634
2009,Treatment 1,6,1.2028217652006798
2010,Treatment 1,6,6.3130909884772315
2011,Treatment 1,6,23.907054379449043
2012,Treatment 1,6,19.064329688309734
2013,Treatment 1,6,12.51291271083853
2014,Treatment 1,6,20.103726285770158
2015,Treatment 1,6,17.936487789979772
2016,Treatment 1,6,26.60278168274955
2017,Treatment 1,6,15.775574046567383
2018,Treatment 1,6,17.17945614567783
2019,Treatment 1,6,40.900839786128515
2020,Treatment 1,6,17.883845097723036
2021,Treatment 1,6,8.5322568933435
2022,Treatment 1,6,14.230190540086213
2023,Treatment 1,6,16.012568571894498
1950,Treatment 2,6,16.402466824352786
1951,Treatment 2,6,20.707186683970757
1952,Treatment 2,6,19.31626384704813
1953,Treatment 2,6,12.133448167890347
1954,Treatment 2,6,27.221115873183138
1955,Treatment 2,6,6.702691739161317
1956,Treatment 2,6,23.22343768768709
1957,Treatment 2,6,-1.4201115418502468
1958,Treatment 2,6,31.02661579047228
1959,Treatment 2,6,10.235877595430075
1960,Treatment 2,6,14.081881124468682
1961,Treatment 2,6,17.2238290672095
1962,Treatment 2,6,22.693212735074102
1963,Treatment 2,6,20.719419052374437
1964,Treatment 2,6,18.645502848024567
1965,Treatment 2,6,17.645832916978765
1966,Treatment 2,6,15.340782823028677
1967,Treatment 2,6,18.26122363746399
1968,Treatment 2,6,17.724355462354286
1969,Treatment 2,6,16.443904686099575
1970,Treatment 2,6,6.189465950745172
1971,Treatment 2,6,24.76209093252674
1972,Treatment 2,6,18.010170618249713
1973,Treatment 2,6,13.290879815105347
1974,Treatment 2,6,1.8089175172297658
1975,Treatment 2,6,8.990217066232084
1976,Treatment 2,6,12.334416376668235
1977,Treatment 2,6,12.818028392814643
1978,Treatment 2,6,26.20176769590747
1979,Treatment 2,6,25.600420969645242
1980,Treatment 2,6,5.273355180086538
1981,Treatment 2,6,4.0687199410173545
1982,Treatment 2,6,-5.349822369258064
1983,Treatment 2,6,15.080912528228623
1984,Treatment 2,6,15.769908098290689
1985,Treatment 2,6,16.571828352092297
1986,Treatment 2,6,8.540489029899682
1987,Treatment 2,6,-1.468584196500423
1988,Treatment 2,6,15.034354144372923
1989,Treatment 2,6,3.300027751274902
1990,Treatment 2,6,14.829244885394068
1991,Treatment 2,6,12.259184976770635
1992,Treatment 2,6,14.133663736492904
1993,Treatment 2,6,18.83171849600673
1994,Treatment 2,6,-3.3775303545772566
1995,Treatment 2,6,12.532626949056173
1996,Treatment 2,6,18.854169463177012
1997,Treatment 2,6,16.912393619357033
1998,Treatment 2,6,16.624467466667785
1999,Treatment 2,6,30.016383635458496
2000,Treatment 2,6,9.240758126495875
2001,Treatment 2,6,19.56191934175558
2002,Treatment 2,6,23.64122077485678
2003,Treatment 2,6,17.534798204450393
2004,Treatment 2,6,13.453488532867617
2005,Treatment 2,6,23.63872451269872
2006,Treatment 2,6,6.555297278240845
2007,Treatment 2,6,16.08998361106591
2008,Treatment 2,6,24.940957042464206
2009,Treatment 2,6,10.091317906149682
2010,Treatment 2,6,20.159164237806444
2011,Treatment 2,6,18.702606430994962
2012,Treatment 2,6,3.4374390774862995
2013,Treatment 2,6,10.018266718186876
2014,Treatment 2,6,15.935047814570936
2015,Treatment 2,6,20.336443450431418
2016,Treatment 2,6,15.364698284328359
2017,Treatment 2,6,8.007553715049394
2018,Treatment 2,6,17.783577657432375
2019,Treatment 2,6,20.6118980064508
2020,Treatment 2,6,22.827190139065653
2021,Treatment 2,6,19.073104806162416
2022,Treatment 2,6,8.379196334119946
2023,Treatment 2,6,13.698336690909205
1950,Control,7,13.535827259212454
1951,Control,7,18.742676471197708
1952,Control,7,6.700187717772938
1953,Control,7,6.4186710086068235
1954,Control,7,-1.4930861151631163
1955,Control,7,9.409556773403258
1956,Control,7,16.59327276267481
1957,Control,7,8.998606239184163
1958,Control,7,18.591046753176084
1959,Control,7,9.882543131989255
1960,Control,7,12.411774792166199
1961,Control,7,3.079657778885485
1962,Control,7,7.645301532203071
1963,Control,7,6.205902837527036
1964,Control,7,18.01499263973123
1965,Control,7,19.914029514148904
1966,Control,7,17.789932680460296
1967,Control,7,18.881100753082634
1968,Control,7,26.359682613165873
1969,Control,7,12.621851262682219
1970,Control,7,18.76233984776832
1971,Control,7,4.860580189256424
1972,Control,7,28.95574055734169
1973,Control,7,18.971406122795837
1974,Control,7,13.716927835485718
1975,Control,7,12.644594460600793
1976,Control,7,21.552467913197447
1977,Control,7,9.476327384640046
1978,Control,7,13.315316972963878
1979,Control,7,8.348729836151549
1980,Control,7,11.317917521973495
1981,Control,7,10.670589538807494
1982,Control,7,16.985349280183303
1983,Control,7,10.8827836528732
1984,Control,7,15.708404178860851
1985,Control,7,21.353599626210155
1986,Control,7,9.302087212138378
1987,Control,7,22.368707694936127
1988,Control,7,13.21956260495912
1989,Control,7,-4.339075990054656
1990,Control,7,3.9071643475159306
1991,Control,7,20.316739868911306
1992,Control,7,20.48404121462927
1993,Control,7,14.611936457930673
1994,Control,7,6.4743514633881105
1995,Control,7,26.357139236700657
1996,Control,7,12.439831149490054
1997,Control,7,18.9182424144392
1998,Control,7,10.420115742009857
1999,Control,7,31.85327127471841
2000,Control,7,19.148185822646848
2001,Control,7,10.98009807890487
2002,Control,7,19.69527604132183
2003,Control,7,18.677626646003105
2004,Control,7,14.88969050776304
2005,Control,7,12.909430594165858
2006,Control,7,19.618830866308045
2007,Control,7,9.340718911525169
2008,Control,7,-3.7386313188879896
2009,Control,7,18.698968675959662
2010,Control,7,2.487930166892161
2011,Control,7,21.67016165676145
2012,Control,7,22.410075411603685
2013,Control,7,14.299233330670104
2014,Control,7,11.021111718514444
2015,Control,7,6.970910580943405
2016,Control,7,17.701343023157737
2017,Control,7,13.794670961239415
2018,Control,7,20.845317877330782
2019,Control,7,17.349647762445812
2020,Control,7,4.151714117366495
2021,Control,7,15.23531214295293
2022,Control,7,24.335457921831182
2023,Control,7,21.17010947424125
1950,Treatment 1,7,14.207020731658934
1951,Treatment 1,7,17.67613418803912
1952,Treatment 1,7,20.750385488846533
1953,Treatment 1,7,14.903570721861481
1954,Treatment 1,7,21.64576344185108
1955,Treatment 1,7,15.948384290743316
1956,Treatment 1,7,8.687278967417896
1957,Treatment 1,7,23.861704286102448
1958,Treatment 1,7,19.410888320371534
1959,Treatment 1,7,13.447156260347626
1960,Treatment 1,7,19.712721141328807
1961,Treatment 1,7,19.473786810704443
1962,Treatment 1,7,19.421833970979787
1963,Treatment 1,7,23.628260199501934
1964,Treatment 1,7,14.256325801186485
1965,Treatment 1,7,7.670965431333973
1966,Treatment 1,7,19.9503060372415
1967,Treatment 1,7,1.8352110340946535
1968,Treatment 1,7,19.13441308678455
1969,Treatment 1,7,13.313283953393285
1970,Treatment 1,7,10.761229535502414
1971,Treatment 1,7,18.65425471740726
1972,Treatment 1,7,9.205128764178566
1973,Treatment 1,7,16.42290982901032
1974,Treatment 1,7,35.976941412334455
1975,Treatment 1,7,0.8738027437748244
1976,Treatment 1,7,6.686966689710104
1977,Treatment 1,7,23.075022272797334
1978,Treatment 1,7,15.903647461940981
1979,Treatment 1,7,21.22083279697596
1980,Treatment 1,7,17.177758913744515
1981,Treatment 1,7,6.17522103250541
1982,Treatment 1,7,13.249238704166297
1983,Treatment 1,7,9.18497889209176
1984,Treatment 1,7,18.196225515460206
1985,Treatment 1,7,21.52089114840714
1986,Treatment 1,7,4.465650935749666
1987,Treatment 1,7,17.56881688307734
1988,Treatment 1,7,18.83054680533059
1989,Treatment 1,7,11.066011163627525
1990,Treatment 1,7,27.33517964570568
1991,Treatment 1,7,19.968224275394075
1992,Treatment 1,7,16.86879467457939
1993,Treatment 1,7,4.9660762021137685
1994,Treatment 1,7,23.583944082165413
1995,Treatment 1,7,14.246225674436143
1996,Treatment 1,7,16.046037852734663
1997,Treatment 1,7,6.870926155671842
1998,Treatment 1,7,9.766540273678402
1999,Treatment 1,7,25.276134317782493
2000,Treatment 1,7,12.534665831698902
2001,Treatment 1,7,14.980549297457559
2002,Treatment 1,7,5.513904663278824
2003,Treatment 1,7,15.678690823612875
2004,Treatment 1,7,7.645568800756995
2005,Treatment 1,7,-4.242650117765738
2006,Treatment 1,7,21.26193908695273
2007,Treatment 1,7,21.529415450175396
2008,Treatment 1,7,12.099203794255713
2009,Treatment 1,7,12.981360487270472
2010,Treatment 1,7,9.060574552574405
2011,Treatment 1,7,21.353699134324348
2012,Treatment 1,7,21.075154999550023
2013,Treatment 1,7,15.69804463688564
2014,Treatment 1,7,29.614348091949118
2015,Treatment 1,7,12.285803974098924
2016,Treatment 1,7,2.2103276522358666
2017,Treatment 1,7,18.15731989594208
2018,Treatment 1,7,9.468321783951072
2019,Treatment 1,7,-12.758205768949143
2020,Treatment 1,7,-2.0417729007825685
2021,Treatment 1,7,14.423157087923217
2022,Treatment 1,7,18.571365402255076
2023,Treatment 1,7,14.211883325949056
1950,Treatment 2,7,14.212673505059271
1951,Treatment 2,7,17.667422940705848
1952,Treatment 2,7,18.6944659718743
1953,Treatment 2,7,6.955665357530961
1954,Treatment 2,7,13.51302047244806
1955,Treatment 2,7,4.38065853298383
1956,Treatment 2,7,18.295728013880765
1957,Treatment 2,7,16.623864916305035
1958,Treatment 2,7,4.258799482302983
1959,Treatment 2,7,19.202859863640906
1960,Treatment 2,7,3.0024570266583126
1961,Treatment 2,7,14.740265161902894
